f	FALSE	上海	195	2346	647
m	TRUE	福建	664	8986	5040
m	TRUE	北京	307	29215	1071
f	FALSE	上海	466	5702	1011
m	FALSE	广东	200	2399	1535
f	FALSE	上海	270	2009	2148
f	FALSE	上海	195	2241	1457
m	TRUE	辽宁	462	3554	1157
m	TRUE	广东	667	3500	2859
m	FALSE	香港	813	12524	6260
f	FALSE	海外	752	17296	2519
m	FALSE	其他	128	2920	34
m	FALSE	上海	1872	81235	12674
f	FALSE	北京	380	10153	1292
m	FALSE	黑龙江	1450	4331	4897
m	FALSE	云南	126	4225	537
f	FALSE	上海	189	4964	4
m	FALSE	湖北	290	4052	1284
f	FALSE	上海	155	2337	2531
f	TRUE	上海	227	5473	1834
m	FALSE	广东	118	4210	477
f	FALSE	上海	566	2257	4082
m	FALSE	上海	178	4673	564
m	FALSE	河南	205	11803	407
f	FALSE	香港	144	25025	965
m	FALSE	海外	149	5872	218
m	FALSE	四川	58	4894	83
m	FALSE	山东	50	16538	818
m	FALSE	浙江	185	2639	802
m	FALSE	湖北	163	8739	309
m	TRUE	北京	328	3252	290
f	FALSE	北京	884	295953	1020
f	FALSE	辽宁	241	2249	1503
m	FALSE	辽宁	455	2438	200
m	FALSE	安徽	999	6577	2730
f	FALSE	北京	1937	2901	4862
f	FALSE	福建	1993	12263	135
m	FALSE	浙江	108	2077	408
f	FALSE	湖南	109	5480	31
f	TRUE	江苏	166	14526	1345
m	FALSE	上海	3	3433	2086
f	FALSE	安徽	87	5804	238
f	TRUE	上海	266	8051	794
m	FALSE	河南	373	6289	3241
m	FALSE	北京	242	5190	804
m	FALSE	上海	2000	23386	642
f	FALSE	江苏	151	2002	136
m	FALSE	湖北	494	8349	535
m	FALSE	湖北	516	5569	486
m	FALSE	浙江	321	3418	562
m	FALSE	湖南	1	13203	35
m	FALSE	浙江	270	2778	421
m	FALSE	河南	1949	2569	2177
m	FALSE	四川	279	15046	823
f	FALSE	广东	1768	4723	786
f	FALSE	上海	1978	2945	5645
f	TRUE	上海	188	11436	152
m	TRUE	北京	1168	5948	3035
m	FALSE	北京	1321	8006	8517
f	TRUE	上海	217	20752	1113
m	FALSE	甘肃	251	2039	1368
m	FALSE	上海	778	2169	196
m	FALSE	上海	1547	57624	9247
m	TRUE	河南	900	2824	9325
m	FALSE	广东	70	3683	522
m	FALSE	四川	544	6522	2620
m	FALSE	陕西	424	22939	287
f	TRUE	广东	343	2777	1239
m	TRUE	浙江	392	11049	2211
m	TRUE	北京	365	2723	1511
f	FALSE	陕西	119	7095	699
m	FALSE	湖北	445	15715	3282
m	TRUE	海外	204	8268	1804
f	FALSE	北京	388	6855	9630
m	FALSE	浙江	173	2075	1105
f	FALSE	福建	292	3042	587
m	FALSE	北京	254	10698	1568
m	TRUE	广东	1467	3348	832
f	FALSE	广东	80	14426	80
f	TRUE	北京	291	11593	8461
f	TRUE	北京	1467	2204	2182
m	FALSE	浙江	370	2477	4634
m	FALSE	浙江	832	4836	6298
m	FALSE	北京	1395	3839	2662
f	TRUE	北京	297	10559	4684
m	FALSE	云南	250	6331	47
f	FALSE	北京	214	10625	9047
f	FALSE	北京	244	3053	2272
m	TRUE	北京	2000	3026	882
m	FALSE	北京	2000	2627	14935
m	FALSE	上海	599	9821	310
m	FALSE	天津	2000	2190	1539
m	TRUE	北京	89	10297	133
f	FALSE	海外	1059	13041	3286
m	TRUE	北京	1756	99950	3426
f	FALSE	上海	263	20887	221
f	FALSE	北京	300	4344	667
f	FALSE	吉林	1514	2145	474
m	TRUE	湖北	829	15973	6565
m	FALSE	上海	1990	44669	6446
f	FALSE	广东	1914	12535	1847
m	FALSE	广东	272	2779	710
m	FALSE	上海	1280	3051	3838
m	TRUE	山东	299	51550	294
f	FALSE	海外	571	2841	2339
m	FALSE	北京	690	11396	5240
m	FALSE	浙江	1297	3532	71283
m	FALSE	上海	123	48444	12
f	FALSE	北京	1583	2196	300
m	TRUE	上海	297	4816	1312
m	FALSE	广东	341	28304	369
m	FALSE	广东	494	13875	16939
m	FALSE	广东	78	117418	66
m	TRUE	上海	449	37531	4390
f	FALSE	北京	27	20105	705
f	FALSE	海外	6	2868	38
m	TRUE	上海	190	10290	3952
f	FALSE	上海	1526	8798	211
m	FALSE	广东	117	2316	520
m	FALSE	上海	86	2799	103
m	FALSE	福建	38	11480	215
m	TRUE	浙江	256	5374	273
f	FALSE	上海	237	5174	255
m	FALSE	广东	120	10329	211
m	FALSE	河南	426	11075	1268
m	FALSE	广东	404	293572	213
m	TRUE	上海	238	17574	3957
m	TRUE	浙江	705	19109	2662
m	FALSE	广东	310	10288	1361
f	FALSE	湖南	1920	3265	2173
f	FALSE	江苏	135	3232	284
m	FALSE	北京	1289	11622	2254
f	FALSE	上海	1876	3201	1662
m	FALSE	四川	1629	3255	1636
f	FALSE	重庆	476	3227	2084
f	FALSE	江西	1752	6691	2991
m	FALSE	山东	1608	4220	5836
m	FALSE	海南	287	16401	642
m	FALSE	山东	190	11336	1237
m	TRUE	广东	212	4734	638
f	TRUE	广东	398	2456	2255
m	FALSE	云南	141	21028	1004
m	FALSE	其他	68	2237	308
m	FALSE	湖北	124	2305	209
m	FALSE	广东	531	23777	969
f	FALSE	海外	223	195926	256
m	FALSE	广西	1980	2560	1129
m	TRUE	北京	787	24187	3235
m	FALSE	上海	475	22108	1344
f	TRUE	北京	493	6292	14989
m	FALSE	上海	855	2524	2655
m	FALSE	广东	421	2382	1900
m	FALSE	广东	196	2756	673
m	FALSE	福建	795	6027	1491
m	FALSE	广东	256	4109	760
m	FALSE	辽宁	77	3232	205
m	FALSE	湖南	273	3633	908
f	TRUE	广东	295	3903	1449
m	FALSE	广东	310	3258	1944
f	FALSE	上海	301	2463	9303
m	FALSE	北京	174	2880	760
m	FALSE	浙江	181	2049	2548
f	FALSE	江苏	147	10282	317
f	FALSE	湖北	148	4239	2056
m	FALSE	北京	131	12784	625
f	FALSE	北京	254	10918	967
m	FALSE	浙江	148	10154	487
f	FALSE	其他	162	2663	168
m	FALSE	上海	999	84509	3730
m	TRUE	上海	791	36742	3909
m	FALSE	湖南	1853	10857	1810
m	FALSE	其他	840	2075	1226
m	FALSE	北京	1137	2893	545
m	FALSE	广东	483	11456	3110
m	FALSE	北京	1746	11670	1537
f	FALSE	福建	2000	2326	1981
m	FALSE	新疆	1746	3234	340
m	TRUE	北京	1603	5796	1595
m	FALSE	辽宁	295	2248	661
m	FALSE	上海	141	182431	719
f	TRUE	广东	413	2918	1634
m	FALSE	上海	811	5444	39
m	TRUE	北京	386	10983	759
m	FALSE	广东	464	2023	6033
f	FALSE	浙江	248	3291	4
f	FALSE	广东	303	3376	1337
m	FALSE	上海	226	7448	688
m	TRUE	广东	580	3486	3419
f	TRUE	北京	553	31429	523
f	FALSE	其他	116	228677	797
m	TRUE	北京	194	35525	783
f	TRUE	北京	317	17213	634
f	FALSE	北京	1205	3177	3985
f	FALSE	湖南	236	10565	1266
m	FALSE	浙江	580	3827	2505
m	FALSE	江苏	191	4159	127
f	TRUE	广东	305	2717	1543
m	FALSE	北京	899	160413	352
m	FALSE	广东	593	2107	4578
f	FALSE	江苏	353	2530	985
m	TRUE	山东	276	56364	1942
m	FALSE	湖北	222	6642	364
f	FALSE	上海	584	3833	1182
m	FALSE	广东	861	2189	1169
f	FALSE	江苏	128	9922	1202
m	FALSE	湖北	142	4483	1138
f	FALSE	海外	194	4271	241
m	FALSE	天津	155	2211	183
m	FALSE	重庆	286	3672	336
f	FALSE	海外	263	2567	6311
f	FALSE	山东	228	2785	1086
f	TRUE	江苏	325	2508	9911
f	FALSE	陕西	194	2241	2536
m	FALSE	广东	1205	6545	2306
f	TRUE	其他	272	3398	1583
m	FALSE	北京	206	2921	761
f	FALSE	山东	455	2176	3063
m	FALSE	广东	125	4801	1326
m	FALSE	海外	1263	3411	5030
m	FALSE	浙江	301	3491	1535
m	FALSE	海外	1790	3239	4753
m	FALSE	陕西	114	12255	232
m	FALSE	辽宁	206	3753	78
f	FALSE	广西	1384	4229	1307
m	FALSE	江苏	1776	3631	79
m	FALSE	广东	141	2767	571
m	FALSE	四川	232	2995	103
m	FALSE	内蒙古	127	4465	1197
m	FALSE	广东	1978	2682	1275
m	FALSE	广东	189	2817	102
m	FALSE	广东	229	2351	375
m	FALSE	福建	197	10432	186
f	FALSE	湖北	126	2607	1733
f	FALSE	云南	223	4086	670
m	FALSE	广东	176	5181	1834
m	FALSE	辽宁	1492	2025	1902
m	FALSE	山东	575	4423	613
m	FALSE	广东	114	2955	304
m	FALSE	福建	419	18489	2432
f	FALSE	江苏	193	11930	1307
f	FALSE	浙江	247	2288	3240
m	FALSE	江苏	833	4049	5198
m	FALSE	浙江	166	2778	631
m	FALSE	山东	190	2286	457
f	FALSE	宁夏	164	2062	1394
m	FALSE	云南	239	7247	85
m	TRUE	辽宁	492	6950	17640
f	FALSE	浙江	160	12843	216
m	FALSE	内蒙古	255	3555	2355
f	FALSE	河北	132	3016	5326
f	FALSE	北京	202	3973	499
f	FALSE	上海	1993	4998	554
m	FALSE	其他	1770	6681	7574
f	FALSE	内蒙古	868	2438	107
f	FALSE	上海	1970	148497	1407
m	TRUE	陕西	136	2443	155
m	FALSE	内蒙古	37	6969	3562
f	TRUE	浙江	266	11553	295
m	FALSE	广东	1994	17009	1217
m	FALSE	海外	757	12713	1363
m	FALSE	福建	320	8703	124
f	FALSE	辽宁	630	2233	132
m	FALSE	海外	1331	15783	243
m	FALSE	北京	827	3365	3
m	FALSE	北京	27	64099	188
f	FALSE	其他	602	13788	1364
m	FALSE	北京	1327	2999	265
m	FALSE	湖北	716	31510	5112
f	FALSE	江苏	76	41162	1171
m	FALSE	海外	137	234013	1252
m	FALSE	陕西	2000	2067	279
f	FALSE	上海	1782	287679	5306
f	FALSE	浙江	72	2342	3
m	FALSE	山东	1329	2188	4158
f	FALSE	重庆	1872	2062	154
f	FALSE	海南	1991	22670	811
f	FALSE	浙江	1125	128236	1071
f	FALSE	辽宁	1998	9736	164
f	FALSE	重庆	260	5093	1351
f	FALSE	浙江	170	2462	1413
m	FALSE	辽宁	541	2505	339
m	FALSE	陕西	83	2089	381
f	FALSE	北京	417	2968	1954
m	FALSE	广东	1719	2020	331
m	FALSE	北京	378	10272	672
f	FALSE	台湾	492	2785	257
f	FALSE	重庆	297	3797	1059
f	FALSE	浙江	81	3700	31
f	FALSE	广东	180	2879	447
f	FALSE	广东	1991	85108	102
m	FALSE	台湾	1879	3074	513
f	FALSE	江苏	592	2432	467
f	FALSE	北京	633	2074	864
m	FALSE	广东	184	2218	2890
f	FALSE	广东	209	113733	4735
m	FALSE	福建	1623	3792	2230
m	FALSE	广东	352	3333	371
m	FALSE	浙江	1997	4046	3337
m	FALSE	北京	628	3452	5909
f	FALSE	北京	1872	3184	1389
m	FALSE	广东	513	15871	1576
m	FALSE	广东	164	4527	3356
m	FALSE	广东	485	4320	1037
f	FALSE	北京	1114	205459	2158
m	FALSE	北京	985	3242	485
f	FALSE	北京	584	27698	4460
m	FALSE	福建	361	23870	1730
m	FALSE	广东	511	4566	1967
m	FALSE	北京	161	10495	628
f	FALSE	北京	1	24441	623
m	FALSE	北京	1862	2142	314
m	FALSE	北京	1851	10502	2191
m	FALSE	上海	228	15344	1990
m	TRUE	湖北	477	2952	950
m	TRUE	香港	172	7036	332
m	FALSE	重庆	1169	115005	803
f	FALSE	广东	23	162865	493
m	FALSE	安徽	194	2340	200
m	FALSE	贵州	300	3055	1347
m	TRUE	海外	835	30750	8
m	FALSE	上海	1790	2493	718
f	FALSE	四川	1760	104658	384
m	FALSE	江苏	1999	2960	3672
f	FALSE	北京	24	106809	487
f	FALSE	上海	960	4819	558
m	FALSE	广东	306	15202	452
f	FALSE	广东	1775	87958	1153
m	FALSE	上海	1999	2153	3446
m	FALSE	贵州	2000	20525	2183
m	FALSE	湖南	193	3204	804
m	TRUE	四川	261	5783	950
m	FALSE	重庆	449	2413	749
f	FALSE	海南	282	4011	1522
m	FALSE	广东	1830	2220	56
m	TRUE	江苏	1503	13469	1113
f	FALSE	湖北	332	2331	1249
m	TRUE	四川	908	2296	2323
f	FALSE	福建	376	6510	1172
m	FALSE	辽宁	1819	2380	1845
m	FALSE	辽宁	1517	5014	1167
f	FALSE	江苏	178	11310	1049
m	FALSE	广东	1995	2301	481
m	FALSE	山东	855	7142	3508
m	FALSE	海外	157	13425	256
m	FALSE	山西	2000	4784	1137
m	FALSE	广东	1469	2393	1230
m	FALSE	四川	201	2245	664
m	FALSE	四川	1939	2652	2778
f	FALSE	广东	1797	5048	2126
m	TRUE	北京	266	3559	2054
m	FALSE	四川	902	2980	2642
m	FALSE	河南	1243	2370	1118
m	FALSE	四川	323	3994	3413
f	FALSE	北京	565	2182	518
f	FALSE	湖南	1396	2260	605
f	FALSE	广东	263	91100	27151
m	FALSE	广东	165	6266	183
m	FALSE	广东	351	11916	153
f	FALSE	海外	345	7654	1532
f	FALSE	浙江	152	12988	1994
f	FALSE	广东	90	2807	220
m	FALSE	湖南	85	16225	740
m	FALSE	广东	1969	2045	4528
f	FALSE	广东	1327	36581	633
m	FALSE	上海	77	2013	319
m	FALSE	广东	189	2536	2780
m	FALSE	四川	383	2295	3234
m	TRUE	北京	70	4461	1326
m	FALSE	湖北	233	13846	1777
m	FALSE	广东	408	6260	4526
m	FALSE	重庆	187	10533	1206
m	FALSE	上海	1641	10155	2438
f	FALSE	北京	230	2001	2501
m	FALSE	广东	1180	2266	6779
m	FALSE	北京	284	2254	1434
m	FALSE	海外	122	20849	309
f	FALSE	广东	258	3951	139
m	FALSE	江苏	159	2542	1355
m	TRUE	湖南	231	36217	995
m	FALSE	香港	141	3691	984
m	FALSE	广东	546	3246	4099
m	FALSE	广东	318	3700	253
f	FALSE	北京	299	11108	3200
m	FALSE	北京	667	11655	1889
m	TRUE	广东	232	2346	698
m	TRUE	山西	1349	8362	7009
f	FALSE	河南	549	2293	858
m	FALSE	新疆	137	3149	6442
m	FALSE	浙江	335	2406	333
m	TRUE	重庆	1496	15473	4119
m	FALSE	香港	375	9410	1441
f	FALSE	浙江	1097	3165	3336
m	FALSE	海外	583	2990	554
m	FALSE	黑龙江	688	2763	1153
m	TRUE	北京	967	10539	458
f	FALSE	北京	1994	3616	1294
f	FALSE	湖北	158	11228	21704
m	FALSE	广东	767	6815	952
m	FALSE	湖北	1836	2063	3961
m	FALSE	广东	1558	5109	2790
m	TRUE	辽宁	436	3077	1227
f	FALSE	广西	1997	2232	1621
f	FALSE	山西	754	2160	6839
m	TRUE	广东	198	4736	523
m	FALSE	安徽	456	5819	957
m	TRUE	北京	702	2230	2958
f	TRUE	北京	869	8610	1186
f	FALSE	浙江	134	17781	3471
f	FALSE	四川	710	7970	2168
f	FALSE	上海	1640	8574	652
m	FALSE	四川	1831	3152	254
f	FALSE	香港	1944	33743	8529
m	FALSE	福建	1407	2357	364
m	TRUE	北京	460	2820	1960
m	FALSE	浙江	97	12458	235
f	FALSE	海外	1809	13378	92
m	FALSE	北京	1148	7035	1390
f	FALSE	浙江	581	112325	845
m	FALSE	北京	1340	4416	1511
m	FALSE	上海	1931	12761	2064
f	FALSE	海南	1861	2174	297
m	FALSE	浙江	232	3478	1
f	FALSE	云南	1976	2225	1426
f	FALSE	广东	1679	31857	1673
f	FALSE	江苏	1694	233215	17527
f	FALSE	广东	1984	119430	677
f	FALSE	广东	1999	2953	1913
m	FALSE	浙江	1889	2347	671
f	FALSE	海外	1830	7636	405
f	FALSE	福建	1618	9073	2853
